symbol,trade_date,previous_close,open,close,gap_pct,first10_return_pct,first10_range_pct,first10_volume,day_volume,traded_value,day_range_pct,post10_max_up_pct,post10_max_down_pct,first10_direction,close_continuation_after10,reversal_flag,bars,session_coverage_pct,opening10_complete,opening10_missing_bars,batch_number
BHARTIARTL,2025-09-24,1939.5,1926.0,1936.0,-0.00696055684454755,-0.15576323987538387,0.5711318795430945,710280.0,5086602.0,9803860059.2,0.9605399792315681,0.7436297451898,-0.21840873634945135,-1,0.0,1,375,100.0,True,0,2
BHARTIARTL,2025-09-25,1936.0,1930.0,1935.0,-0.0030991735537190257,0.5233160621761712,0.891191709844562,293877.0,7112721.0,13800933797.1,1.0984455958549246,0.5102829751043814,-0.3711148909849915,1,0.0,0,375,100.0,True,0,2
BHARTIARTL,2025-09-26,1935.0,1931.1,1915.4,-0.002015503875969049,0.3055253482471265,0.7042618196882676,139635.0,3173567.0,6101449381.3,1.6985138004246263,0.09292720702116508,-1.2958182756840464,1,0.0,1,375,100.0,True,0,2
BHARTIARTL,2025-09-29,1915.4,1928.0,1906.5,0.0065782604155788515,-0.9336099585062207,0.9336099585062241,188086.0,5020444.0,9580063725.599998,1.5819502074688796,0.6806282722513046,-0.654450261780104,-1,1.0,0,375,100.0,True,0,2
BHARTIARTL,2025-09-30,1906.5,1896.0,1883.0,-0.0055074744295829925,0.5590717299577941,0.7964135021096999,219609.0,5878509.0,11089255398.8,1.7088607594936638,0.026224693171084112,-1.6469107311444353,1,0.0,1,375,100.0,True,0,2
BHARTIARTL,2025-10-01,1883.0,1868.0,1868.0,-0.007966011683483765,0.16595289079228692,0.6049250535331882,407563.0,5496001.0,10260421084.400002,1.1295503211991387,0.16033349366681993,-0.812356367911915,1,0.0,1,375,100.0,True,0,2
BHARTIARTL,2025-10-03,1868.0,1851.2,1894.0,-0.008993576017130578,0.5293863439930879,0.8048833189282676,600096.0,5546967.0,10441953530.4,2.8197925669835806,2.111767866738301,-0.09672219236969148,1,1.0,0,375,100.0,True,0,2
BHARTIARTL,2025-10-06,1894.0,1892.6,1901.9,-0.0007391763463570067,-0.07925604987847334,0.4438338793194595,313009.0,2754907.0,5230446206.9,1.0303286484201628,0.8407804981227951,-0.1480619745121814,-1,0.0,1,375,100.0,True,0,2
BHARTIARTL,2025-10-07,1901.9,1900.0,1933.0,-0.0009990009990010762,0.5473684210526297,0.7526315789473661,239271.0,5677883.0,10950382654.1,2.4210526315789473,1.863484087102174,-0.3873534338358464,1,1.0,0,375,100.0,True,0,2
BHARTIARTL,2025-10-08,1933.0,1929.0,1939.0,-0.0020693222969477842,0.20217729393467998,0.6428201140487346,409082.0,4912726.0,9559350609.1,1.8144116122343183,1.5365512959801153,-0.2017693620984029,1,1.0,0,375,100.0,True,0,2
BHARTIARTL,2025-10-09,1939.0,1945.0,1946.5,0.003094378545642096,-0.035989717223650075,0.7403598971722295,193716.0,3911243.0,7590041080.900001,0.8997429305912596,0.1337242195134536,-0.6686210975672457,-1,0.0,0,375,100.0,True,0,2
BHARTIARTL,2025-10-10,1946.5,1937.0,1939.4,-0.0048805548420240985,0.35105833763551253,0.5059370160041278,117401.0,2464556.0,4782429130.3,0.6298399586990097,0.19549336351476487,-0.43214322461158083,1,0.0,1,375,100.0,True,0,2
BHARTIARTL,2025-10-13,1939.4,1937.9,1955.0,-0.0007734350830154169,0.7740337478714165,1.0991279219773957,332433.0,3655705.0,7148372237.200001,1.5429072707570097,0.6656766859542307,-0.4045266014644944,1,1.0,0,375,100.0,True,0,2
BHARTIARTL,2025-10-14,1955.0,1964.0,1948.2,0.004603580562659859,-0.5906313645621108,0.6109979633401221,122837.0,4419090.0,8609476695.5,1.2627291242362502,0.1741446424912807,-0.6760909649662028,-1,1.0,0,375,100.0,True,0,2
BHARTIARTL,2025-10-15,1948.2,1957.2,1970.0,0.004619648906682983,0.3116697322705919,0.6182301246678998,344654.0,3361377.0,6606516898.6,1.2466789290823672,0.6468700657056958,-0.42275760199663726,1,1.0,1,375,100.0,True,0,2
BHARTIARTL,2025-10-16,1970.0,1962.3,1970.2,-0.0039086294416244005,0.5962391071701489,0.8153697192070529,214129.0,3649420.0,7204092887.4,1.2689191255159809,0.6534954407294791,-0.4863221884498392,1,0.0,1,375,100.0,True,0,2
BHARTIARTL,2025-10-17,1970.2,1973.6,2012.9,0.0017257131255710156,0.35468179975679526,0.5421564653425236,172404.0,6693345.0,13482097960.7,3.242805026347791,2.711299606179951,-0.08078360092900194,1,1.0,0,375,100.0,True,0,2
BHARTIARTL,2025-10-20,2012.9,2026.0,2047.0,0.006508023250037187,0.42448173741362893,0.9970384995064188,822583.0,7334122.0,14982665167.2,1.8410661401776878,1.1009535043743357,-0.7323306792489825,1,1.0,1,375,100.0,True,0,2
BHARTIARTL,2025-10-23,2044.0,2063.9,2009.9,0.009735812133072397,-0.6104946945103884,1.3760356606424773,605530.0,8282723.0,16742672337.8,3.07185425650468,0.22912299517379164,-2.325354653146794,-1,1.0,0,375,100.0,True,0,2
BHARTIARTL,2025-10-24,2009.9,2008.0,2028.0,-0.0009453206627195732,0.5478087649402497,0.6025896414342584,270520.0,3226281.0,6531906931.2,1.2998007968127445,0.6934125804853863,-0.23774145616641817,1,1.0,0,375,100.0,True,0,2
BHARTIARTL,2025-10-27,2028.0,2030.0,2083.0,0.0009861932938854956,0.9359605911330116,1.0492610837438514,267058.0,5756564.0,11967223991.400002,3.152709359605911,2.196193265007329,0.0,1,1.0,0,375,100.0,True,0,2
BHARTIARTL,2025-10-28,2083.0,2092.0,2088.0,0.004320691310609748,0.03824091778203975,0.7409177820267686,1575052.0,9785069.0,20446763789.800003,1.4770554493307881,0.4252675840978437,-1.0082186544342675,1,0.0,1,375,100.0,True,0,2
BHARTIARTL,2025-10-29,2088.0,2083.0,2100.0,-0.002394636015325635,0.6481036965914511,0.8305328852616506,224463.0,2708593.0,5685117916.3,1.382621219395112,0.663009778201773,-0.4769854519437122,1,1.0,0,375,100.0,True,0,2
BHARTIARTL,2025-10-30,2100.0,2070.0,2067.0,-0.014285714285714235,0.19323671497584183,1.1739130434782696,358937.0,4079523.0,8431273114.700001,1.420289855072468,0.06750241080037966,-0.7425265188042429,1,0.0,1,375,100.0,True,0,2
BHARTIARTL,2025-10-31,2067.0,2056.0,2061.3,-0.005321722302854326,0.10214007782101131,0.37937743190662365,168264.0,4603123.0,9481174815.2,1.0749027237354263,0.7628395121714426,-0.3109664253437727,1,1.0,1,375,100.0,True,0,2
BHARTIARTL,2025-11-03,2061.3,2055.0,2077.0,-0.0030563236792315873,-0.08272506082723785,0.5255474452554723,102975.0,2953972.0,6096634912.9,1.6447688564476863,1.349047874153797,-0.06331271611552669,-1,0.0,1,375,100.0,True,0,2
BHARTIARTL,2025-11-04,2077.0,2107.0,2110.0,0.014443909484833872,0.8780256288561938,1.1343141907926004,2386956.0,12003983.0,25433009595.6,1.5234931181774993,0.47518231004468614,-1.0350505763349838,1,0.0,1,375,100.0,True,0,2
BHARTIARTL,2025-11-06,2110.0,2115.0,2095.0,0.0023696682464455776,0.08983451536643816,1.0118203309692715,646055.0,9169720.0,19279141034.2,2.023640661938543,0.14644054986063804,-1.7194954886862956,1,0.0,1,375,100.0,True,0,2
BHARTIARTL,2025-11-07,2095.0,2048.0,2001.5,-0.022434367541766087,-1.513671875,1.5283203124999978,4645944.0,18433052.0,37069996891.7,2.5585937500000044,0.1189885969261395,-1.060981655924642,-1,1.0,0,375,100.0,True,0,2
BHARTIARTL,2025-11-10,2001.5,1995.0,2020.5,-0.0032475643267548815,0.5463659147869615,0.7167919799498724,618672.0,7396872.0,14922317254.4,1.834586466165409,1.1416321850540756,-0.0747794007677327,1,1.0,0,375,100.0,True,0,2
BHARTIARTL,2025-11-11,2020.5,2020.1,2044.5,-0.00019797079930716777,0.05940299985149888,0.6088807484777959,367985.0,14776880.0,30192811565.8,1.955348745111628,1.761242764557469,-0.07915697818234868,1,1.0,0,375,100.0,True,0,2
BHARTIARTL,2025-11-12,2044.5,2060.0,2077.9,0.007581315725116111,0.17961165048543393,0.6116504854368888,430964.0,8145119.0,16865621646.0,1.2087378640776743,0.7801521538983502,-0.15506129766922339,1,1.0,0,375,100.0,True,0,2
BHARTIARTL,2025-11-13,2077.9,2099.9,2093.0,0.010587612493382803,-0.39049478546598904,0.8381351492928407,613127.0,5853454.0,12254478979.100002,1.333396828420401,0.7314624468136133,-0.6071616388583334,-1,0.0,1,375,100.0,True,0,2
BHARTIARTL,2025-11-14,2093.0,2090.0,2096.8,-0.0014333492594361674,-0.3062200956937877,0.421052631578956,224631.0,6278132.0,13121935212.5,1.244019138755981,1.1662507199078576,-0.08158955653675415,-1,0.0,1,375,100.0,True,0,2
BHARTIARTL,2025-11-17,2096.8,2112.0,2111.3,0.007249141549027005,-0.18939393939394478,0.39772727272727704,339074.0,5931222.0,12532424212.6,0.999053030303026,0.6641366223908873,-0.33681214421251715,-1,0.0,1,375,100.0,True,0,2
BHARTIARTL,2025-11-18,2111.3,2122.0,2148.0,0.0050679676028986265,0.14608859566447308,0.7445805843543698,370945.0,10849973.0,23268312781.5,2.2950047125353352,1.5952190485153617,-0.38586419462612875,1,1.0,1,375,100.0,True,0,2
BHARTIARTL,2025-11-19,2148.0,2155.0,2160.0,0.0032588454376163423,-0.24593967517402282,0.37122969837587005,936514.0,7322389.0,15761901779.5,0.9048723897911833,0.7675489603200525,-0.13955435642182268,-1,0.0,1,375,100.0,True,0,2
BHARTIARTL,2025-11-20,2160.0,2153.1,2160.0,-0.0031944444444444997,0.11146718684686974,0.40871301843851787,314948.0,7380485.0,15930276663.7,0.9010264270122192,0.6402226861517146,-0.25052192066806755,1,1.0,1,375,100.0,True,0,2
