gap_rank,symbol,valid_sessions,median_abs_gap_pct,p75_abs_gap_pct,p90_abs_gap_pct,p95_abs_gap_pct,p99_abs_gap_pct,mean_abs_gap_pct,gap_up_0.5_rate,gap_down_0.5_rate,gap_up_0.75_rate,gap_down_0.75_rate,gap_up_1_rate,gap_down_1_rate,large_gap_0.5_rate,large_gap_0.75_rate,large_gap_1_rate,max_abs_gap_pct,gap_burden_rank
390,ZFCVINDIA,241,0.0041946146560223,0.0088179718664707,0.0133709494764866,0.0198154816440456,0.04071342216377458,0.006363137198736895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0481429588625768,0.6679999999999999
391,BELRISE,245,0.0044939985209624,0.0083625573239816,0.012791229445774438,0.019986626863554333,0.03719890907040276,0.006285585749960075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0481720684955857,0.6679999999999999
392,MOTHERSON,245,0.0034169514126178,0.007568159022522,0.015551800354469878,0.023917931189731182,0.045942748272967925,0.00654167816373997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0816540172729651,0.669
393,HBLENGINE,245,0.0033845971141857,0.0068823567247701,0.016145101127843127,0.024170602516445573,0.05634239572441045,0.006888023507398818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1087141640647175,0.6705
394,SAPPHIRE,245,0.0042995342171263,0.0084255319148935,0.01353761322849412,0.019303386212376258,0.03613878855574343,0.006288977118816254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0510732323232323,0.672
395,KPRMILL,245,0.0042656587473002,0.0082493125572868,0.013185610055238451,0.020227680540298252,0.03448228592125125,0.006884098535156054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1972125435540068,0.6735
396,BRIGADE,245,0.0045473336089292,0.0086956521739129,0.013818871141225016,0.01851936770361417,0.032558509657086135,0.006361494237888733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0562595488451513,0.6769999999999999
397,WELCORP,245,0.0045446391197752,0.0095921557481881,0.0149661647101717,0.01764563871121358,0.051651556957035924,0.007042759689988728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0825742869941765,0.6779999999999999
398,APARINDS,245,0.0043668122270742,0.0087227414330217,0.01414152151329926,0.01854697202549886,0.04628060577887353,0.00700828199136259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1537851037851036,0.678
399,REDINGTON,245,0.0041904761904763,0.0080645161290322,0.012918332415059719,0.02195002747572977,0.04900660258787874,0.006605551547387742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0648340248962655,0.6785
400,FSL,245,0.0042182609878895,0.0081087004163926,0.013119684094020256,0.02112457528400636,0.03956066157164809,0.006336973823869213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0523105794041754,0.6795
401,DCMSHRIRAM,243,0.004255319148936,0.00906061742198215,0.014421726544727172,0.018977957127769788,0.033594470046082826,0.006538397448596782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0677142857142856,0.682
402,NEWGEN,245,0.0040816326530612,0.0079635949943117,0.013864738949296579,0.020655706727135213,0.04233787556905889,0.0065338616764979585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0660631050555755,0.683
403,ACMESOLAR,245,0.0046204620462044,0.0088466579292267,0.01373359918398224,0.018793837209194558,0.0343177985194721,0.00673033751958454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0721123165283983,0.6849999999999999
404,CANHLIFE,212,0.00459320992269765,0.0088503163353084,0.014217182423734742,0.018327415562361664,0.0548184115569848,0.007593892881224692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1719379382366106,0.6880000000000001
405,SBFC,245,0.0039503386004515,0.0079751424132572,0.01507521434217516,0.020017255682760794,0.0419584618548222,0.0062368340613918475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0532544378698225,0.68825
406,ABFRL,245,0.0038617138653918,0.0077319587628865,0.01494266961925738,0.020820165801788897,0.03812239222413354,0.006665393781546547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0921875,0.6890000000000001
407,HCLTECH,245,0.0044012854547996,0.0077586206896551,0.01420197756025074,0.019052294105235953,0.042455032208486176,0.00662123458467964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0653231410701876,0.692
408,JMFINANCIL,245,0.0045107564191533,0.0075757575757575,0.01355654929057034,0.019780042164275754,0.035273007646558996,0.006410381692548501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0442660550458715,0.696
409,ANTHEM,245,0.004574352612808,0.0080645161290322,0.01287931427254346,0.021493503815219576,0.04041992532278487,0.006388147643622294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.070920472328923,0.6975
410,JPPOWER,245,0.0034506556245685,0.0084985835694051,0.01580137481910274,0.0339576315592482,0.05580099828164621,0.007372699600924479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0675381263616559,0.7025
411,TECHNOE,245,0.004125412541254,0.0085988872028326,0.01405923433361468,0.02159482444908318,0.05848259716963843,0.007273093758131779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1085714285714286,0.7070000000000001
412,PRESTIGE,245,0.0042438732815301,0.0079883805374001,0.01437244063597846,0.020443307757885682,0.04164073009973423,0.006539474267628862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0664479081214111,0.7085
413,HOMEFIRST,245,0.0043256997455469,0.0078947368421051,0.014251881854270999,0.020169589402791132,0.04911441669771288,0.006529366867984936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0585007522789626,0.712
414,ICICIAMC,170,0.0038545671767947,0.00805775989855755,0.01498770053475939,0.022915234942718122,0.03484406798726823,0.006535640513308887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0405573770491802,0.713
415,TRAVELFOOD,241,0.0044102467861499,0.0087935822277075,0.0148902821316614,0.0194419441944193,0.03144139092179555,0.006384185020945413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0504838709677418,0.715
416,IDBI,245,0.0042440318302388,0.0075043630017452,0.013338541409027752,0.02370794496646605,0.04022054647902572,0.0066516769434158554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1093275488069414,0.7185
417,PGEL,245,0.0036843997124371,0.0078473164115482,0.01538927789699658,0.0270916932888595,0.04043844017681019,0.006800775442938102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0726320582877961,0.7195
418,MOTILALOFS,245,0.0039473684210526,0.0068844221105528,0.015049231867911775,0.022532801823538597,0.045751167748937435,0.00642713369557703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0685187658608252,0.72
419,SHRIRAMFIN,245,0.0042328042328043,0.0084070796460177,0.015458879932437978,0.02020369984804235,0.04873432797592361,0.0069234785899700505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526367863856733,0.72
420,RVNL,245,0.0041250056046271,0.0079968012794882,0.015252496413822538,0.021202860222969994,0.038289668200920425,0.006555539255251676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0615482233502537,0.7204999999999999
421,ANANTRAJ,245,0.0037631214101802,0.0074115249212525,0.01626172764599766,0.023889780741190667,0.04206631380451363,0.006629592283265031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0611353711790392,0.7205
